"title";"link";"size"
"MICROSOFT_PRESS_EBOOK_SYSTEMCENTERCLOUDMGMTWITHAPPCONTROLLER_MOBI.MOBI";"http://ligman.me/29idnpO";"42.9MB"
"MICROSOFT_PRESS_EBOOK_SYSTEMCENTERCLOUDMGMTWITHAPPCONTROLLER_PDF.PDF";"http://ligman.me/29dlH9d";"16.3MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_SYSTEM_CENTER_2012_EPUB.EPUB";"http://ligman.me/29cs157";"24.4MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_SYSTEM_CENTER_2012_MOBI.MOBI";"http://ligman.me/29dkq1V";"43.2MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_SYSTEM_CENTER_2012_PDF.PDF";"http://ligman.me/29aelm3";"13.9MB"
"<unavailable>";"http://ligman.me/29ycEnb";"<null>"
"<unavailable>";"http://ligman.me/29w5gr9";"<null>"
"<unavailable>";"http://ligman.me/29pfQ50";"<null>"
"<unavailable>";"http://ligman.me/1sgMWDe";"<null>"
"MicrosoftDynamicsCRMOnline_SMB_FAQ.pdf";"http://ligman.me/29w68w8";"0.5MB"
"Setup Guide Server-side synchronization for CRM Online and Exchange Server.pdf";"http://ligman.me/29viFmi";"0.8MB"
"Scalable Security Modeling with Microsoft Dynamics CRM 2015.pdf";"http://ligman.me/29zYWzl";"2.7MB"
"ScalableDynamicsCRMCustomizations.docx";"http://ligman.me/29H2bo1";"2.2MB"
"ModernBiz_for_DynamicsERP_MobileProductivity_eBook_ToCustomer.pdf";"http://ligman.me/29AT60J";"5.1MB"
"ModernBiz_for_DynamicsERP_InsightsintheCloud_eBook_ToCustomer.pdf";"http://ligman.me/29xtlNa";"2.3MB"
"<unavailable>";"http://ligman.me/29xtHDs";"<null>"
"<unavailable>";"http://ligman.me/29GpFsY";"<null>"
"MICROSOFT_PRESS_EBOOK_INTRO_SQL SERVER_2016_PREVIEW_ED_PDF.PDF";"http://ligman.me/29ddd2b";"4.5MB"
"MICROSOFT_PRESS_EBOOK_INTRO_SQL_SERVER_2016_PREVIEW_ED_EPUB.EPUB";"http://ligman.me/29fJpEc";"4.8MB"
"MICROSOFT_PRESS_EBOOK_INTRO_SQL_SERVER_2016_PREVIEW_ED_MOBI.MOBI";"http://ligman.me/29cs7Fg";"11.3MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_MICROSOFT_SQL_SERVER_2014_EPUB.EPUB";"http://ligman.me/29fJA2g";"8.2MB"
"MICROSOFT_PRESS_EBOOK_INTRODUCING_MICROSOFT_SQL_SERVER_2014_PDF.PDF";"http://ligman.me/29cqzzq";"8.1MB"
